cuisine,Calories,Fat,Carbs,Protein,num_ingredients,luxury_score,Life expectancy at birth (years),Healthy life expectancy at birth (years),UHC: Service coverage index,Obesity_Adult_18plus,cluster,PCA1,PCA2,cluster_str
Guyana,265.6666666666667,12.666666666666666,28.666666666666668,10.0,7.666666666666667,0.6666666666666666,66.0777511597,56.8207092285,75.9315490723,28.4577407837,4,0.0945720245408371,-1.6799469000563207,4
Haiti,460.3333333333333,24.166666666666668,47.5,15.0,8.333333333333334,0.5,61.699672699,53.9361953735,54.1373214722,10.6892299652,3,-2.7731170583290754,-0.9630358702342963,3
Honduras,451.0,21.0,53.25,14.5,8.5,0.5,70.5326309204,59.588394165,64.308807373,29.4924201965,4,-1.3707437040318395,0.17012578113628518,4
Hungary,374.27272727272725,20.90909090909091,30.227272727272727,17.09090909090909,14.818181818181818,2.0,70.944229126,66.7041931152,79.4574584961,31.7039299011,2,0.5964421389045423,0.7055646343749439,2
Iceland,262.25,10.75,19.25,21.75,9.75,1.25,81.3297424316,71.3704833984,88.918296814,21.2344093323,2,2.311971764550607,0.7373785359230889,2
India,357.94736842105266,18.142105263157895,33.76842105263158,17.173684210526314,17.410526315789475,1.0947368421052632,67.3078079224,58.1467475891,63.3342704773,7.2678899765,3,-1.178565207410745,-0.9322555224368226,3
Indonesia,443.84,23.48,37.28,24.72,18.6,1.88,70.1775436401,59.8872909546,54.7766304016,11.2278699875,3,-1.6568979786612386,0.2524919617645934,3
Iran (Islamic Republic of),353.7142857142857,17.363636363636363,34.65909090909091,16.5,9.840909090909092,0.45454545454545453,74.7107772827,63.9713516235,74.3083267212,24.2665901184,4,0.0952050958701738,0.13103973869534033,4
Iraq,236.33333333333334,7.666666666666667,32.666666666666664,10.0,6.333333333333333,0.0,71.4663238525,59.9660072327,58.5078887939,40.4852485657,4,0.23505374196599346,-1.9361631207707037,4
Ireland,365.60869565217394,17.0,39.25,12.791666666666666,13.708333333333334,1.625,83.3508682251,70.0031814575,82.6755905151,28.3465499878,2,1.665381048445675,1.3324352411316724,2
Israel,261.55,11.142857142857142,34.523809523809526,7.9523809523809526,7.380952380952381,0.14285714285714285,82.3866195679,70.0781784058,85.4991989136,22.4907093048,4,2.0664237729058113,0.13925634646700344,4
Italy,370.37610619469024,19.704845814977972,31.374449339207047,16.45374449339207,9.625550660792952,1.2334801762114538,79.9756317139,70.5646514893,83.8360366821,17.2918605804,2,1.2996321813893974,1.286407584624748,2
