cuisine,num_recipes,avg_total_ingredients,avg_luxury_score,pct_dairy,pct_meat,pct_poultry,pct_seafood,pct_vegetable,pct_fruit,pct_grain,pct_sweetener,pct_fat,pct_spice,pct_herb,pct_nut,pct_legume,pct_baked goods,pct_seasoning,pct_condiment,pct_beverage,pct_dessert,pct_aromatic,pct_pasta,pct_seed,pct_egg,GDP_2010,GDP_2022,GDP_growth,GDP_Class,sub_region,PCA1,PCA2,cluster
Colombia,10,10.5,0.9,0.1,0.1,0.0,0.0,0.3,0.1,0.0,0.3,0.7,0.2,0.1,0.0,0.1,0.1,0.8,0.0,0.6,0.0,0.3,0.0,0.0,0.2,6398.2958447102,6674.59601948063,0.0431834009361823,Upper-Middle Income,South America,-0.2362258462575761,-0.1179884094599051,1
Costa Rica,3,5.666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,8265.78820275582,13625.9008491328,0.648469633493623,High Income,Central America,-0.6870862207977548,-0.2379853130003224,1
Croatia,2,7.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,13731.2865213989,18466.0955472648,0.3448190392420367,High Income,Southern Europe,-0.6439731400979662,-0.4012899018021053,1
Cuba,69,10.46376811594203,0.3623188405797101,0.072463768115942,0.2898550724637681,0.1159420289855072,0.0289855072463768,0.3768115942028985,0.4927536231884058,0.1014492753623188,0.1739130434782608,0.6376811594202898,0.5507246376811594,0.463768115942029,0.0,0.0869565217391304,0.0579710144927536,0.6521739130434783,0.1884057971014492,0.4782608695652174,0.0144927536231884,0.5652173913043478,0.0,0.0,0.0289855072463768,5272.26755824835,,,Unknown,Caribbean,-0.9466892322301556,0.0542193510632162,1
Cyprus,2,7.5,1.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,31105.02734375,33938.9453125,0.0911080365701535,High Income,Western Asia,0.6617448666175125,-1.1439302884523337,2
Czech Republic,17,12.352941176470589,1.5294117647058822,0.2352941176470588,0.1764705882352941,0.1176470588235294,0.0,0.2941176470588235,0.0588235294117647,0.2352941176470588,0.4117647058823529,0.6470588235294118,0.2941176470588235,0.0,0.1176470588235294,0.0,0.0,0.5882352941176471,0.2352941176470588,0.4705882352941176,0.0588235294117647,0.2352941176470588,0.0,0.1764705882352941,0.4705882352941176,,,,Unknown,Eastern Europe,0.4572984563054186,0.1397500094610282,1
Denmark,24,11.416666666666666,1.9583333333333333,0.25,0.0833333333333333,0.0833333333333333,0.0,0.0416666666666666,0.2083333333333333,0.0416666666666666,0.625,0.75,0.5833333333333334,0.0,0.1666666666666666,0.0,0.0833333333333333,0.625,0.0416666666666666,0.75,0.0833333333333333,0.0833333333333333,0.0,0.0416666666666666,0.5833333333333334,58104.5445594981,68091.3191138669,0.1718759630607295,High Income,Northern Europe,2.2494190412215347,-1.3794443367164286,2
Dominican Republic,8,10.625,0.5,0.0,0.25,0.125,0.0,0.375,0.5,0.375,0.375,0.5,0.5,0.125,0.0,0.125,0.0,0.625,0.0,0.875,0.0,0.625,0.0,0.0,0.125,5484.64637931191,10109.5234003521,0.8432406943290326,Upper-Middle Income,Caribbean,-0.3976495883836227,0.7030610910564041,1
Ecuador,2,6.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4520.30959039763,6540.99824522101,0.4470243938857359,Upper-Middle Income,South America,-1.487884820374764,-0.0908659978158134,1
Egypt,19,17.05263157894737,1.4736842105263157,0.1578947368421052,0.1052631578947368,0.1052631578947368,0.0,0.2631578947368421,0.1578947368421052,0.2631578947368421,0.2105263157894736,0.5789473684210527,0.631578947368421,0.1052631578947368,0.1578947368421052,0.2105263157894736,0.0,0.6842105263157895,0.0,0.7894736842105263,0.0526315789473684,0.3684210526315789,0.0,0.1578947368421052,0.2105263157894736,,,,Unknown,Northern Africa,0.8670305713002519,0.7526280987428206,1
El Salvador,12,6.75,0.25,0.0833333333333333,0.0,0.1666666666666666,0.0833333333333333,0.75,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.0,0.0,0.0,0.75,0.0833333333333333,0.5833333333333334,0.0,0.6666666666666666,0.0,0.0833333333333333,0.1666666666666666,3040.07300952878,5093.51833879776,0.6754592152335415,Upper-Middle Income,Central America,-1.1831665716479756,0.1760685498656707,1
Ethiopia,14,16.928571428571427,0.0,0.0,0.0714285714285714,0.2142857142857142,0.0,0.5714285714285714,0.2142857142857142,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0714285714285714,0.0,0.0,0.0,0.5714285714285714,0.0714285714285714,0.6428571428571429,0.0714285714285714,0.7857142857142857,0.0,0.0,0.0714285714285714,330.619412798644,1011.0732858233,2.0581183278523043,Low Income,Eastern Africa,-0.2169512081544601,3.041971332128854,3
Finland,20,13.7,1.3,0.0,0.15,0.0,0.0,0.2,0.15,0.1,0.5,0.8,0.5,0.0,0.05,0.0,0.15,0.75,0.0,0.85,0.0,0.2,0.0,0.0,0.6,46506.2919016566,50438.4753952355,0.0845516452245643,High Income,Northern Europe,1.4086825008720734,-0.6930010006138752,2
